"Rank","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"1","United States","United States","United States","United States","United States","United States","United States","United States","United States"
"2","Soviet Union","Soviet Union","Japan","Japan","Japan","Japan","China","China","China"
"3","Japan","Japan","Soviet Union","Germany","Germany","Germany","Japan","Japan","Japan"
"4","West Germany","West Germany","West Germany","France","United Kingdom","United Kingdom","Germany","Germany","Germany"
"5","France","France","France","United Kingdom","France","China","United Kingdom","United Kingdom","India"
"6","United Kingdom","United Kingdom","United Kingdom","Italy","Italy","France","France","France","United Kingdom"
"7","Italy","Italy","Italy","Brazil","China","Italy","Italy","Brazil","France"
"8","China","Canada","Canada","China","Brazil","Canada","Brazil","Italy","Brazil"
"9","Canada","China","Iran","Spain","Canada","Spain","Russia","Russia","Italy"
"10","Mexico","India","Spain","Canada","Mexico","South Korea","India","India","Russia"
"Rank","1980","1985","1990","1995","2000","2005","2010","2015","2020"
"11","Spain","Brazil","Brazil","Iran","Spain","Brazil","Spain","Canada","Canada"
"12","Brazil","Mexico","China","South Korea","South Korea","Mexico","Canada","Spain","South Korea"
"13","India","Australia","India","Mexico","Iran","India","Australia","Australia","Spain"
"14","Netherlands","Spain","Australia","Netherlands","India","Russia","South Korea","South Korea","Australia"
"15","Australia","Iran","Netherlands","Australia","Netherlands","Australia","Mexico","Mexico","Indonesia"
"16","Saudi Arabia","Netherlands","Mexico","India","Russia","Netherlands","Netherlands","Turkey","Mexico"
"17","Sweden","Sweden","South Korea","Switzerland","Australia","Iran","Turkey","Netherlands","Turkey"
"18","Belgium","Saudi Arabia","Switzerland","Russia","Switzerland","Turkey","Indonesia","Indonesia","Netherlands"
"19","Switzerland","Switzerland","Sweden","Belgium","Taiwan","Switzerland","Switzerland","Saudi Arabia","Saudi Arabia"
"20","Iran","South Korea","Turkey","Argentina","Argentina","Sweden","Iran","Switzerland","Argentina"
