"Rank","Country","Fertility rate in 1950 (births/woman)"
"94","Comoros (French Colonial Empire →  Comoros)","6.00"
"95","French Polynesia (French Colonial Empire → France)","6.00"
"96","Belgian Congo (Belgian Colonial Empire, Belgian Congo → Template:Country data Congo, Republic of the (Léopoldville) →  Zaire →  Congo, Democratic Republic of the)","5.99"
"97","Guinea (French Colonial Empire, French West Africa, French Guinea →  Guinea","5.97"
"98","South-West Africa ( South Africa →  Namibia)","5.96"
"99","Nepal","5.96"
"100","Albania","5.96"
"101","Laos (French Colonial Empire, French Indochina, French Laos →  Laos)","5.94"
"102","Guinea-Bissau (Portuguese Empire, Portuguese Guinea →  Guinea-Bissau)","5.92"
"103","India","5.91"
"104","Mauritius (British Empire →  Mauritius)","5.90"
"105","Lesotho (British Empire →  Lesotho)","5.81"
"106","Grenada (British Empire →  Grenada)","5.80"
"107","Lebanon","5.76"
"108","Dahomey (French Colonial Empire, French West Africa →  Dahomey →  Benin","5.75"
"109","Guyana (British Empire →  Guyana)","5.69"
"110","Panama","5.68"
"111","Equatorial Guinea (Spanish Empire, Spanish Guinea →  Equatorial Guinea)","5.68"
"112","Congo, Republic of the (French Colonial Empire, French Congo, French Equatorial Africa →  Congo, Republic of the)","5.67"
"113","Costa Rica","5.65"
"114","Aruba (Netherlands)","5.65"
"115","Sri Lanka","5.64"
"116","Cameroon (United Nations Trust Territories, French Colonial Empire, French Equatorial Africa, French Cameroons →  Cameroon)","5.54"
"117","SR Macedonia ( Yugoslavia →  Macedonia)","5.52"
"118","Mongolia","5.50"
"119","Central African Republic (French Colonial Empire, French Equatorial Africa, Ubangi-Shari →  Central African Republic)","5.40"
"120","Indonesia","5.35"
"121","SR Bosnia and Herzegovina ( Yugoslavia →  Bosnia and Herzegovina)","5.32"
"122","Trinidad and Tobago (British Empire, West Indies Federation →  Trinidad and Tobago)","5.28"
"123","United States Virgin Islands (US)","5.25"
"124","Gambia, The (British Empire, Gambia Colony and Protectorate →  Gambia, The)","5.23"
"125","New Caledonia (French colonial Empire → France)","5.22"
"126","Uzbek SSR ( Soviet Union →  Uzbekistan)","5.08"
"127","French Guiana (French Colonial Empire → France)","5.08"
"128","Chile","5.08"
"129","Azerbaijan SSR ( Soviet Union →  Azerbaijan)","5.07"
"130","Tajik SSR ( Soviet Union →  Tajikistan)","5.04"
"131","Korea, South","5.02"
"132","Puerto Rico (US)","4.97"
"","World","4.96"
"133","Vietnam (French Colonial Empire, French Indochina, French Vietnam →  North Vietnam and  South Vietnam →  Vietnam)","4.96"
"134","Turkmen SSR ( Soviet Union →  Turkmenistan)","4.89"
"135","Cuba","4.76"
"136","SR Montenegro ( Yugoslavia →  Montenegro)","4.62"
"137","Israel","4.52"
"138","Antigua and Barbuda (British Empire →  Antigua and Barbuda)","4.50"
"139","Hong Kong (British Empire, Hong Kong colony →  China, Special administrative regions of China)","4.44"
"140","Barbados (British Empire →  Barbados)","4.42"
"141","Macau (Portuguese Empire, Portuguese Macau →  China, Special administrative regions of China)","4.39"
"142","Kazakh SSR ( Soviet Union →  Kazakhstan)","4.30"
"143","Malta (British Empire →  Malta)","4.14"
"144","Armenian SSR ( Soviet Union →  Armenia )","4.13"
"145","Bahamas, The (British Empire →  Bahamas, The)","3.98"
"146","Gabon (French Colonial Empire, French Congo, French Equatorial Africa →  Gabon","3.95"
"147","Kirghiz SSR ( Soviet Union →  Kyrgyzstan)","3.92"
"148","Cyprus (British Empire, British Cyprus →  Cyprus)","3.85"
"149","Jamaica (British Empire, Colony of Jamaica →  Jamaica)","3.80"
"150","Iceland","3.62"
"151","Slovak Socialist Republic ( Czechoslovakia →  Slovak Republic /  Slovakia)","3.59"
"152","Poland","3.53"
"153","SR Serbia ( Yugoslavia →  Serbia and Montenegro →  Serbia)","3.53"
"154","Canada","3.47"
"155","Ireland","3.47"
"156","Moldavian SSR ( Soviet Union →  Moldova)","3.47"
"157","Japan","3.44"
"158","New Zealand","3.38"
"159","Argentina","3.16"
"160","Finland","3.13"
"161","Portugal","3.10"
"162","United States","3.05"
"163","Netherlands","3.05"
"164","Romania","3.05"
"165","Australia","3.01"
"166","Czech Socialist Republic ( Czechoslovakia →  Czech Republic /  Czechia)","2.94"
"167","SR Croatia ( Yugoslavia →  Croatia)","2.92"
"168","Lithuanian SSR ( Soviet Union →  Lithuania)","2.90"
"169","SR Slovenia ( Yugoslavia →  Slovenia)","2.87"
"170","France","2.83"
"171","Russian SFSR ( Soviet Union →  Russia)","2.81"
"172","Hungary","2.77"
"173","Ukrainian SSR ( Soviet Union →  Ukraine)","2.72"
"174","Uruguay","2.69"
"175","Bulgaria","2.66"
"176","Georgian SSR ( Soviet Union →  Georgia)","2.65"
"177","Denmark","2.58"
"178","Byelorussian SSR ( Soviet Union →  Belarus)","2.50"
"179","Greece","2.47"
"180","Norway","2.46"
"181","Italy","2.46"
"182","Spain","2.45"
"183","Belgium","2.33"
"184","Switzerland","2.33"
"185","Sweden","2.25"
"","Population Replacement","2.10"
"186","Estonian SSR ( Soviet Union →  Estonia)","2.09"
"187","Germany ( West Germany and  East Germany →  Germany)","2.09"
"188","United Kingdom","2.08"
"189","Channel Islands -  Guernsey (UK) and  Jersey (UK)","2.06"
"190","Latvian SSR ( Soviet Union →  Latvia)","2.01"
"191","Korea, North","1.95"
"192","Austria","1.87"
"193","Luxembourg","1.87"
"","World",""
"","World","4.96"
"","Not Ranked",""
"1","American Samoa (US)","-"
"2","Andorra","-"
"3","Bermuda (UK)","-"
"4","Cayman Islands (UK)","-"
"5","Curaçao (Netherlands)","-"
"6","Czechoslovakia (Dissolved in 1992)","-"
"7","Dominica (British Colonial Empire →  Dominica)","-"
"8","Faroe Islands (Denmark)","-"
"9","Gibraltar (UK)","-"
"10","Guadeloupe (French Colonial Empire → France)","-"
"11","Guam (US)","-"
"12","Isle of Man (UK)","-"
"13","Yugoslavia ( Yugoslavia →  Serbia and Montenegro →  Serbia →  Kosovo)","-"
"14","Liechtenstein","-"
"15","Marshall Islands (Trust Territory of the Pacific Islands →  Marshall Islands)","-"
"16","Mayotte (French Colonial Empire → France)","-"
"17","Monaco","-"
"18","Nauru","-"
"19","Northern Mariana Islands (US)","-"
"20","Palau (Trust Territory of the Pacific Islands →  Palau)","-"
"21","Palestinian territories (Jordan, West Bank and Egypt, Gaza Strip → Israeli occupied territories → Palestinian territories)","-"
"22","San Marino","-"
"23","Seychelles (British Colonial Empire, Crown colony →  Seychelles)","-"
"24","Saint Martin (French part)","-"
"25","Sint Maarten (Dutch part)","-"
"26","St. Kitts and Nevis (British Colonial Empire →  St. Kitts and Nevis)","-"
"27","Soviet Union (dissolved in 1991)","-"
"28","Turks and Caicos Islands (British Colonial Empire → UK)","-"
"29","Tuvalu (British Empire, Gilbert and Ellice Islands → Ellice Islands →  Tuvalu)","-"
"30","Vatican City","-"
"31","Yugoslavia (dissolved in 1992)","-"
